Name:,grav3,L1 Size:,64,L2 Size:,1024,L3 Size:,32768,,L1,L1,L2,L2,L3,L3,DRAM,DRAM,FP,FP,FP FMA,FP_FMA
Date,ISA,Precision,Threads,Loads,Stores,Interleaved,DRAM Bytes,FP Inst.,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,Gflop/s,I/Cycle,Gflop/s,I/Cycle
23:09:2024 23:51,neon,sp,16,2,1,No,1048576,div,1956.8388,36.6377,1378.859,19.2166,310.4366,10.8495,220.8874,2.8464,55.9241,5.3827,979.9782,47.1614
24:09:2024 00:02,armscalar,sp,16,2,1,No,1048576,div,495.6662,48.0484,488.7571,48.064,320.442,39.622,222.6749,11.0371,55.9241,21.5308,335.1842,64.5229
24:09:2024 00:13,neon,dp,16,2,1,No,1048576,div,1958.4608,36.6377,1387.9357,19.2166,308.7172,11.1768,220.5863,2.8708,27.7453,5.341,489.7161,47.1352
24:09:2024 00:24,armscalar,dp,16,2,1,No,1048576,div,987.8375,48.4413,965.5803,34.3295,316.8528,21.711,221.3524,5.5727,27.8773,10.7328,333.9452,64.2844
24:09:2024 00:35,neon,sp,32,2,1,No,2097152,div,3924.2962,73.2754,2564.8504,38.4245,416.0203,37.6941,238.9811,3.0396,110.845,10.6688,1753.707,84.3971
24:09:2024 00:46,armscalar,sp,32,2,1,No,2097152,div,991.0701,96.0969,974.814,94.2431,414.538,88.8445,243.7189,11.4831,111.8481,43.0615,667.8905,128.5689
24:09:2024 00:57,neon,dp,32,2,1,No,2097152,div,3923.7823,73.2754,2615.9908,38.4245,409.5678,37.1557,238.7953,3.0396,55.4906,10.6819,881.1604,84.8117
24:09:2024 01:08,armscalar,dp,32,2,1,No,2097152,div,1975.6979,95.9138,1897.9251,72.0919,419.9332,65.0099,241.9881,5.9624,55.4906,21.3639,599.1878,115.3436
24:09:2024 01:19,neon,sp,48,2,1,No,3145728,div,5891.6488,109.9488,3607.5199,57.6555,469.6645,57.2181,243.4422,2.9537,167.7722,16.1533,2540.4557,122.2991
24:09:2024 01:30,armscalar,sp,48,2,1,No,3145728,div,1490.838,144.1453,1468.1552,144.192,497.7604,135.0863,252.9638,12.0405,167.7722,64.5923,1001.8357,192.8533
24:09:2024 01:41,neon,dp,48,2,1,No,3145728,div,5882.395,109.5948,3955.4974,57.6368,487.1505,57.5261,242.6443,2.9812,83.236,16.0229,1281.2645,123.3217
24:09:2024 01:53,armscalar,dp,48,2,1,No,3145728,div,2969.0964,144.1446,2892.2146,108.1379,494.6658,102.8069,249.4194,6.0202,83.236,32.0458,864.2259,166.3635
24:09:2024 02:04,neon,sp,64,2,1,No,4194304,div,7830.0077,146.5508,5120.9608,76.849,551.0506,75.8646,241.7824,2.9528,221.4593,21.3154,3355.4642,161.4817
24:09:2024 02:15,armscalar,sp,64,2,1,No,4194304,div,1982.9049,192.2562,1940.6825,183.1604,567.3519,177.3723,252.213,12.0444,221.4593,85.2895,1335.781,257.2213
24:09:2024 02:26,neon,dp,64,2,1,No,4194304,div,7860.5062,146.5508,5530.7408,76.849,554.1693,75.1351,241.8971,2.9528,110.9813,21.3639,1674.524,161.1729
24:09:2024 02:37,armscalar,dp,64,2,1,No,4194304,div,3951.8428,191.8275,3688.8357,137.4118,560.8298,131.5105,249.4654,6.0202,110.9813,42.7278,1127.5128,217.0462
