Name:,ampere,L1 Size:,64,L2 Size:,1024,L3 Size:,1,,L1,L1,L2,L2,L3,L3,DRAM,DRAM,FP,FP,FP FMA,FP_FMA
Date,ISA,Precision,Threads,Loads,Stores,Interleaved,DRAM Bytes,FP Inst.,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,Gflop/s,I/Cycle,Gflop/s,I/Cycle
27/09/2024 19:32,neon,dp,1,2,1,No,524288,div,81.6551,1.7809,54.8846,0.8882,28.0605,0.8803,24.5329,0.3136,1.0092,0.1682,24.0943,2.0081
27/09/2024 19:43,armscalar,dp,1,2,1,No,524288,div,35.866,2.019,32.1471,1.3163,25.7458,1.3097,24.5584,0.5327,1.0024,0.3342,12.0801,2.0136
27/09/2024 21:22,neon,sp,2,2,1,No,524288,div,159.7563,3.5698,119.4273,1.7445,43.1809,1.7773,37.6316,0.5227,4.0206,0.3351,96.9224,4.0389
27/09/2024 21:33,armscalar,sp,2,2,1,No,524288,div,35.9198,4.0152,35.0222,3.5265,36.6993,3.5283,32.5745,1.6727,4.0206,1.3404,24.0065,4.0016
27/09/2024 21:00,neon,dp,2,2,1,No,524288,div,163.1777,3.5525,126.4528,1.7477,43.7333,1.7629,37.4679,0.5227,2.0047,0.3342,48.1886,4.0162
27/09/2024 21:11,armscalar,dp,2,2,1,No,524288,div,71.7451,4.0034,66.8843,2.5936,41.107,2.5978,37.5988,0.9039,2.0047,0.6683,24.1603,4.0272
27/09/2024 22:49,neon,sp,4,2,1,No,524288,div,325.3978,7.1397,215.6098,3.4772,103.9656,3.484,62.6698,0.7457,8.0413,0.6702,192.1883,8.0088
27/09/2024 23:00,armscalar,sp,4,2,1,No,524288,div,71.8507,8.0524,70.1576,7.1112,73.1917,7.113,60.0013,2.5327,8.0413,2.6808,48.013,8.0032
27/09/2024 22:28,neon,dp,4,2,1,No,524288,div,326.5172,7.1051,310.2009,3.3835,104.2489,3.417,62.6575,0.7602,4.0095,0.6683,96.3772,8.0324
27/09/2024 22:38,armscalar,dp,4,2,1,No,524288,div,143.4589,8.0069,133.8813,5.1425,92.3825,5.1751,63.1916,1.3032,4.0095,1.3367,48.013,8.0032
28/09/2024 00:16,neon,sp,8,2,1,No,524288,div,650.7955,14.2424,579.5153,7.0922,189.4326,7.0239,83.0534,0.842,16.147,1.3458,383.8129,15.9942
28/09/2024 00:27,armscalar,sp,8,2,1,No,524288,div,143.7171,16.061,143.4419,14.1237,142.317,14.0286,81.99,3.2626,16.147,5.383,96.6411,16.1089
27/09/2024 23:54,neon,dp,8,2,1,No,524288,div,652.0903,14.2472,581.9598,6.8425,191.0596,6.9108,82.9133,0.8605,8.019,1.3367,192.7545,16.0649
28/09/2024 00:05,armscalar,dp,8,2,1,No,524288,div,286.931,16.1518,282.6652,10.4105,170.948,10.3119,83.1477,1.6313,8.019,2.6733,96.6411,16.1089
28/09/2024 01:43,neon,sp,16,2,1,No,524288,div,1300.3131,28.5586,1246.6717,13.7752,315.6376,13.7765,88.2551,0.8242,32.1651,2.6808,775.3796,32.3115
28/09/2024 01:54,armscalar,sp,16,2,1,No,524288,div,287.406,32.1219,287.9061,28.2474,277.5304,28.2494,88.8763,3.297,32.1651,10.723,192.0519,32.0127
28/09/2024 01:21,neon,dp,16,2,1,No,524288,div,1305.481,28.4203,1251.1336,14.0702,307.3121,13.7982,87.8343,0.8242,16.038,2.6733,386.5591,32.2173
28/09/2024 01:32,armscalar,dp,16,2,1,No,524288,div,573.862,32.3036,575.2235,20.7486,304.6779,20.7496,89.1702,1.6313,16.038,5.3467,193.2822,32.2177
28/09/2024 03:11,neon,sp,32,2,1,No,524288,div,2601.9184,56.9695,2510.2062,27.5504,378.6155,27.8204,72.668,0.7529,64.3301,5.3615,1537.506,64.0708
28/09/2024 03:22,armscalar,sp,32,2,1,No,524288,div,574.875,64.2438,575.8044,56.1965,371.1296,56.4975,81.7054,3.0117,64.3301,21.4461,384.1039,64.0253
28/09/2024 02:49,neon,dp,32,2,1,No,524288,div,2612.2868,56.9889,2500.0313,27.3286,378.5575,27.5964,66.4102,0.7529,32.0759,5.3467,771.0179,64.2595
28/09/2024 03:00,armscalar,dp,32,2,1,No,524288,div,1147.9872,64.0551,1150.2902,41.102,381.8244,41.1039,80.9141,1.5058,32.294,10.766,384.1039,64.0253
